餐廳,經度,緯度
邱家小卷米粉,22.9935564,120.1952932
矮子成蝦仁飯,22.9889795,120.1930352
阿霞飯店（錦霞樓）,22.991474,120.2307005
周氏蝦卷,22.9837118,120.1716403
義豐阿川冬瓜茶,23.001556,120.1966494
阿裕牛肉火鍋店,22.9390956,120.2500517
赤崁棺材板,22.9923802,120.1939444
赤崁擔仔麵(民族店),22.9966014,120.2013857
Mari Yasa（Prefu商店）,23.4857501,120.0843006
漢來蔬食(台南店),22.9913275,120.2313643
阿堂鹹粥,22.9899117,120.1957593
松村熏之味,23.5242511,119.8634766
進福炒鱔魚專家,22.9889814,120.2075845
武廟肉圓,22.9960466,120.2000131
華味香鴨肉羹,23.3064201,120.2980601
城邊真味鱔魚意麵,22.9874187,120.2149333
衛屋茶事,22.999483,120.2095637
阿美飯店,23.0627912,120.1800355
老曾羊肉店,22.9948194,120.2054398
阿蘭碗粿,23.184597,120.2392196
窄門咖啡,22.9896821,120.2025892
小豪洲沙茶爐,22.9939363,120.2015152
一大快餐,22.9946208,120.2002797
陳氏蚵捲,23.0003688,120.1594779
莉莉水果店,22.9890496,120.201931
富盛號碗粿,22.9975871,120.1970102
花園夜市,24.0031852,119.683785
金得春捲,22.9976539,120.1968765
王氏魚皮,22.998989,120.1667017
1010湘(台南三越嶲門店),22.986809,120.195609
台南商務會館-港式飲茶,23.0430253,120.2468463
東興洋行,23.0017694,120.1567504
茂雄蝦仁肉圓,22.9904194,120.1945199
山根壽司,22.9968591,120.1998425
度小月(中正路店),22.9922588,120.2009724
籃記東山鴨頭,23.3223194,120.4010338
石精臼蚵仔煎,22.9974748,120.1967913
豪記臭豆腐,22.7045932,120.2572517
大東夜市,22.9827594,120.2169932
文章牛肉湯,22.9987751,120.1675479
台南阿輝炒鱔魚,25.055506,121.528072
裕成水果店,22.9940145,120.1988054
冰鄉,22.9942309,120.1980515
那個年代杏仁豆腐冰,22.8775691,119.9722666
六千牛肉湯,22.9892199,120.1948478
永樂燒肉飯,22.9977924,120.1969824
西井村蜂蜜滷味(安平店),22.9981748,120.1721356
義豐冬瓜茶,23.0031219,120.1766836
阿明豬心冬粉,22.9904692,120.1939252
再發號肉粽,22.9943153,120.202841
開元紅燒土魠魚羹,23.0080994,120.2192197
碳佐麻裡(永康中華店),23.0180761,120.2252329
同記安平豆花,22.9948247,120.1598706
依蕾特布丁乳酪(安平門市),22.9981603,120.1720368
劉家莊牛肉爐,23.031604,120.2506235
上原UEHARA日式料理,22.9926872,120.1797518
騷烤家(前鋒總店),22.9944786,120.2111136
京正拉麵,22.9940382,120.2105931
所長茶葉蛋,23.4857501,120.0843006
醉月樓,23.4536269,120.0731042
廣仔虱目魚丸,22.990541,120.2040454
心巴黎百匯餐廳 - 桂田酒店,23.0440592,120.2408194
文川梅仔雞,23.1813837,120.5564674
武聖夜市,23.0042746,120.1887761
福記肉圓,22.9821395,120.2053177
尼法法式餐廳,23.0038475,120.2148472
飛饗創意西式料理,22.9910369,120.2192806
歐納牛排館,22.991667,120.216077
Wiwe義法餐廳,22.9885721,120.1925913
皮耶諾,22.9861992,120.2147973
麻豆碗稞蘭,23.184597,120.2392196
永泰興蜜餞行,23.0006956,120.1607942
古堡蚵仔煎,23.0008093,120.158988
翰林茶館,23.4536269,120.0731042
勝利早點,22.9946783,120.2157316
泰成水果店,22.9944661,120.1949529
旗哥牛肉湯,23.0098071,120.1833693
修安扁擔豆花,22.9972094,120.1965467
二師兄 古早味滷味,22.9967528,120.1905826
橋下,23.4536269,120.0731042
阿龍意麵,22.9890264,120.2072495
韓金婆婆豆腐酪(安平店),23.4857501,120.0843006
東東拔絲地瓜,23.7912603,119.8611911
Z甘單咖啡館kn,22.9941454,120.2045784
豆奶宗,22.9913276,120.1908808
劉家肉粽菜粽專賣(西門店),22.9995841,120.1988333
克林肉包,22.8085182,120.1036733
福生小食店,22.9895728,120.1954229
石頭鄉烤玉米,22.9905724,120.1952288
太陽牌冰品,22.9895458,120.2081179
遠東Cafe - 香格里拉台南遠東國際大飯店,23.4857501,120.0843006
老騎士咖哩專賣店,22.9956508,120.199829
府城黃家蝦捲(原鴨母寮蝦捲店),23.0027467,120.1904035
小豆豆鍋燒意麵,22.9858148,120.2016644
台南度小月擔仔麵（赤崁樓店）,22.994758,120.2006452
卓家汕頭魚面(民生老店),22.9941977,120.1981273
台北永和豆漿,23.4857501,120.0843006
阿松割包,23.4857501,120.0843006
祿記肉包,22.9919136,120.2043292
張家海水伯百年老店,22.99722,120.199776
阿龍香腸熟肉,22.9902391,120.1946581
呷霸白北浮水魚羹,22.9967641,120.2000554
保哥黑輪,22.99,120.202806
美式餐廳AJ Burger,23.4857501,120.0843006
葉家小卷米粉,22.9942089,120.1956489
阿鳳浮水虱目魚焿,22.9902842,120.1940953
歐家蚵仔煎,23.000496,120.158999
周氏蝦捲(中山店),23.4857501,120.0843006
楊哥楊嫂肉粽(總店),22.9842825,120.203277
古都碗粿(東門分店),22.9836943,120.2235621
再發號百年肉粽(崇明店),22.9867897,120.2031405
延齡堂,22.9990711,120.2093499
義豐冬瓜茶(安平店),23.0001692,120.1600993
蜷尾家甘味處,22.9943275,120.1949379
極鮮火鍋,23.4536269,120.0731042
台南-轉角西餐廳,22.9952933,120.2189917
永通虱目魚粥,23.2314214,120.1781235
大大茶樓(台南德安店),22.97384,120.2184841
東悅坊,23.0192869,120.2598681
IZZY CAFE,23.5653768,119.8683123
太山梅子雞,23.183745,120.5332587
暖暖蛇咖啡館 Café Flaneur /,22.9984581,120.1964533
薄多義,23.4536269,120.0731042
曹師傅麵包坊,23.0030495,120.1849362
一點刈包,22.9999337,120.2247668
赤崁擔仔麵,23.0000838,120.2016169
台灣黑輪2元,22.9902419,120.2044101
韓金婆婆豆腐酪(赤崁店),22.997369,120.19982
桃花源牛肉麵館,22.985121,120.198764
阿美鳳梨酥(邱惠美鳳梨酥店),22.990242,120.207523
阿公阿婆蛋餅,22.9994245,120.2255474
Chun純薏仁,22.990765,120.1972947
EVA伊娃日式泡芙專賣店,23.4857501,120.0843006
